Entered into login
success to log in
[2018-Jan-20 11:02] anu 127.0.0.1 POST http /? 302 FOUND
Entered into home
[2018-Jan-20 11:02] anu 127.0.0.1 GET http /home? 200 OK
[2018-Jan-20 11:02] anu 127.0.0.1 GET http /js/backto_Top.js? 200 OK
Loggedout Sucessfully
Entered into login
success to log in
[2018-Jan-20 11:03] admin 127.0.0.1 POST http /? 302 FOUND
Entered into home
Admin Entered into Admin dashboard
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /home? 302 FOUND
Entered into dashboard
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /dashboard? 200 OK
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/backgrounds.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/bootstrap/css/bootstrap.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/border-radius.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/boilerplate.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/grid.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/animate.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/page-transitions.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/spacing.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/typography.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/elements/buttons.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/elements/badges.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/elements/forms.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/colors.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/helpers/utils.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/elements/dashboard-box.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/elements/images.css? 304 NOT MODIFIED
[2018-Jan-20 11:03] admin 127.0.0.1 GET http /static/assets/elements/info-box.css? 304 NOT MODIFIED
